Bracteophyton	Barinophytes	genus	Bracteophyton
Caia	Horneophytopsida/?	genus	Caia (plant)
Catenalis	Embryophytes/Plantae	genus	Catenalis
Celatheca	Cooksonioidea	genus	Celatheca
Chaleuria	Progymnospermopsida	genus	Chaleuria
Crenaticaulis	Zosterophylls	genus	Crenaticaulis
Culullitheca	Cooksonioidea	genus	Culullitheca
Danziella	Zosterophylls/?	genus	Danziella
Deheubarthia	Zosterophylls	genus	Deheubarthia
Demersatheca	Tracheophytes/Plantae	genus	Demersatheca
Discalis	Zosterophylls/?	genus	Discalis
Distichophytum	Zosterophylls	genus	Distichophytum
Drepanophycus	Drepanophycaceae	genus	Drepanophycus
Dutoitea	Rhyniophyta	genus	Dutoitea
Eogaspesiea	Rhyniophytes	genus	Eogaspesiea
Eophyllophyton	Euphyllophytes	genus	Eophyllophyton
Foozia	Cladoxylopsida	genus	Foozia
Fusitheca	Cooksonioidea	genus	Fusitheca
Gosferia	Zosterophylls	genus	Gosferia
Gosslingia	Gosslingiaceae	genus	Gosslingia
Grisellatheca	Embryophytes/Plantae	genus	Grisellatheca
Guangnania	Zosterophylls/?	genus	Guangnania
Gumuia	Zosterophylls	genus	Gumuia
Halleophyton	Lycopodiopsida/?	genus	Halleophyton
Hicklingia	Zosterophylls/?	genus	Hicklingia
Hsua	Hsuaceae	genus	Hsua
Huia	Lycophytes/?	genus	Huia (plant)
Huvenia	Rhyniaceae	genus	Huvenia
Junggaria	Rhyniophytes	genus	Junggaria
Konioria	Zosterophylls	genus	Konioria
Macivera	Zosterophylls	genus	Macivera
Nothia	Zosterophylls/?	genus	Nothia aphylla
Odonax	Zosterophylls	genus	Odonax
Oricilla	Gosslingiaceae	genus	Oricilla
Pertica	Euphyllophytes	genus	Pertica
Polythecophyton	Euphyllophytes	genus	Polythecophyton
Psilophyton	Trimerophytaceae	genus	Psilophyton
Renalia	Tracheophyta	genus	Renalia
Sartilmania	Rhyniophytes/?	genus	Sartilmania
Serrulacaulis	Zosterophylls	genus	Serrulacaulis
Sporogonites	Bryophyta/?	genus	Sporogonites
Stachyophyton	Tracheophytes/Plantae	genus	Stachyophyton
Stockmansella	Rhyniaceae	genus	Stockmansella
Tarella	Zosterophylls	genus	Tarella
Tarrantia	Rhyniophytes/?	genus	Tarrantia
Thrinkophyton	Zosterophylls	genus	Thrinkophyton
Trichopherophyton	Zosterophylls/?	genus	Trichopherophyton
Uskiella	Rhyniophytes/?	genus	Uskiella
Ventarura	Zosterophylls/?	genus	Ventarura
Wenshania	Zosterophylls	genus	Wenshania
Yarravia	Rhyniophytes/?	genus	Yarravia
Yunia	Zosterophylls/?	genus	Yunia
Zosterophyllum	Zosterophylls	genus	Zosterophyllum
Hsuaceae	Tracheophytes/Plantae	familia	Hsua
Sawdoniales	Zosterophylls	ordo	Sawdoniales
Zosterophylls	Lycophytes	plesion!	Zosterophyll
Lycopodiophyta	Tracheophytes/Plantae	divisio!	Lycophyte
Gosslingiaceae	Incertae sedis/Zosterophylls	familia	Gosslingiaceae
Sawdoniaceae	Sawdoniales	familia	Sawdoniaceae
Sporathylacium	Rhyniophytes/?	genus	Sporathylacium
Resilitheca	Rhyniophytes/?	genus	Resilitheca
Rhyniophyta	Tracheophytes/Plantae	stem group!	Rhyniophyte
Drepanophycaceae	Drepanophycales	familia	Drepanophycaceae
Drepanophycales	Lycophytes	ordo	Drepanophycales
Lycopodiopsida	Lycophytes	classis	Lycopodiopsida
Rhyniaceae	Rhyniales	familia	Rhyniophyte
Rhyniopsida	Rhyniophytina	classis	Rhyniophyte
Barinophyton	Barinophytes	genus	Barinophyton
Anisophyton	Zosterophylls	genus	Anisophyton
Protobarinophyton	Barinophytes	genus	Protobarinophyton
Lyginopteris	Lyginopteridaceae	genus	Lyginopteris
Cooksonia	Cooksonioidea	genus	Cooksonia
Quercus	Quercoideae	genus	Oak
