Poeae	Poodae	tribus	早熟禾族
Coleanthinae	Poeae	subtribus	莎禾亚族
Catabrosa	Coleanthinae	genus	沿沟草属
Lamiaceae	Lamiales	familia	唇形科
Nepetoideae	Lamiaceae	subfamilia	荆芥亚科
Ocimeae	Nepetoideae	tribus	罗勒族
Ociminae	Ocimeae	subtribus	罗勒亚族
Platostoma	Ociminae	genus	仙草属
Acrogymnospermae	Spermatophyta	clade	末端裸子植物
Ginkgophyta	Acrogymnospermae	divisio	银杏门
Ginkgoopsida	Ginkgophyta	classis	银杏目
Ginkgoales	Ginkgoopsida	ordo	银杏目
Ginkgoaceae	Ginkgoales	familia	银杏科
Ginkgo	Ginkgoaceae	genus	银杏属
Nypoideae	Arecaceae	subfamilia	水椰
Nypa	Nypoideae	genus	水椰
Oryzoideae	BOP	subfamilia	稻亚科
Oryzeae	Oryzoideae	tribus	稻族
Oryzinae	Oryzeae	subtribus	稻亚族
Oryza	Oryzinae	genus	稻属
Capsiceae	Solanoideae	tribus	辣椒族
Capsicum	Capsiceae	genus	辣椒属
Malvoideae	Malvaceae	subfamilia	锦葵亚科
Hibisceae	Malvoideae	tribus	木槿族
Hibiscus	Hibisceae	genus	木槿属
Hibiscus sect. Lilibiscus	Hibiscus	sectio	百合朱槿组
Hibiscus sect. Hibiscus	Hibiscus	sectio	木槿组
Abelmoschus	Hibisceae	genus	黄葵属
Dipterocarpaceae	Malvales	familia	龙脑香科
Dipterocarpoideae	Dipterocarpaceae	subfamilia	龙脑香亚科
Dilleniaceae	Dilleniales	familia	五桠果科
Shorea	Dipterocarpoideae	genus	娑罗属
Bixaceae	Malvales	familia	红木科
Cistaceae	Malvales	familia	半日花科
Cytinaceae	Malvales	familia	簇花草科
Muntingiaceae	Malvales	familia	文定果科
Neuradaceae	Malvales	familia	沙莓科
Sarcolaenaceae	Malvales	familia	旋花树科
Sphaerosepalaceae	Malvales	familia	球萼树科
Thymelaeaceae	Malvales	familia	瑞香科
Diegodendron	Bixaceae	genus	地果莲木
